ID_REF,IDENTIFIER,GSM15807,GSM15822,GSM15823,GSM15824,GSM15825,GSM15826,GSM15827,GSM15828,GSM15829,GSM15830,GSM15831,GSM15832,GSM15833,GSM15834,GSM15835,GSM15836,GSM15837,GSM15838,GSM15839,GSM15840,GSM15841,GSM15842,GSM15843,GSM15844
1020_s_at,CIB1,2349.6,1928.6,1357.9,1606.3,1926.5,2232.2,1406.6,1928.6,1513.9,2047.1,1903.9,74.8,2723,1942.8,1960.4,1646.8,1392,1795.5,1962.7,2075.7,2225.6,1525.1,1482.1,1946.5,0,0
1021_at,IFNG,157.9,148.1,258.7,142.3,187,281.9,290.7,60,56.7,274.5,203.8,9.5,221.5,439.9,73.2,191.9,47.8,79.3,305.6,172.8,290.2,38.5,193.3,387,0,0
1022_f_at,IFNA14,356.8,278.2,194.5,270.5,286.3,195.4,133.3,281.6,245.4,284.3,191.2,14.2,248.5,332.7,117.1,95.9,18.4,160.8,134.9,177.8,203.7,102,52,334.4,0,0
1023_at,EPO,128.6,122.8,141.1,66.4,94.6,161.6,102.7,90.9,161.8,94.4,114.1,4.2,214.4,141.3,125.8,101.2,72.3,72.4,131.1,143.8,171.2,142.2,67.5,179,0,0
1024_at,CYP1A1,551.5,183.3,479.6,905.1,228.1,140.9,730.5,271.8,243.2,181.7,325.5,47.3,172.2,348,157.3,408.7,157.8,412,247.9,791.8,1041.9,388.1,536.4,683.5,0,0
1025_g_at,CYP1A1,453.9,325.8,121.4,206.5,506.6,454.9,181.8,469.8,223.8,513.5,318.4,30.7,597.2,617.3,335.2,262.2,255.2,341,467.3,82.3,242.7,364.9,397.7,248.9,0,0
1026_s_at,COL11A2,935.4,377.3,243.5,1278.9,895.4,1089.5,1100.2,1127.9,376.8,184.6,950.2,12.2,547.7,277,319.2,229.5,527.4,1087.2,345.3,1607.2,415.5,229.1,842.2,433.2,0,0
1027_at,COL11A2,68.4,35.8,87.7,117.8,211.7,71.6,152.9,194.5,140.7,463.7,361.6,6.3,294.3,48.8,474.9,88.5,170.1,50.6,170.1,448.8,867.2,366.5,34.2,303.3,0,0
1028_at,TOP3A,660.9,239.3,575.1,213.1,384.9,595.8,489.7,789.6,611.9,428.3,606.9,16.6,610.7,504.9,466.8,426.2,306.6,335,714.5,686.8,929.8,378.3,626.8,458,0,0
1029_s_at,TXK,43.6,26.4,117.9,95.9,120.2,37.9,90.1,76.4,79.2,18.4,90.6,13.2,240,45.9,228.6,187.4,48.2,149,219.7,211,39.4,159.2,146.2,97.9,0,0
102_at,HIPK3,449.8,213.8,227.1,660,271.8,326.3,93.5,248.8,58.6,313.3,278.3,17.3,114.6,204.1,196.5,141.1,74.5,184.2,164.3,114.9,175.3,115.4,140.3,305,0,0
1030_s_at,TOP1,1153.5,1833.6,1318.7,1412.1,1629,1085.4,1158.4,1501.4,1551.8,1701.1,1025.9,58.1,1404.5,1289.3,2253.2,1367.1,2387.6,1838.2,1716.1,1746.5,1612.4,2769.2,1546.8,1645,0,0
1031_at,SRPK1,658.1,455.1,476.3,685.9,910.5,420.7,1107.7,295.4,558.8,858,468.1,24.5,298.9,419.3,703.7,622.2,674.3,409,261,595.6,635.7,599.4,195.2,534.9,0,0
1032_at,CXCR2,2473.5,2064.1,1552.5,1703.2,1388.5,1719.2,1601.8,1861.8,2372.4,2100.9,1919.9,77.3,2072.8,1176.4,2728,2326.2,1102.4,1453.4,1895.6,1587.8,2336.4,2192.4,1430.9,1601.5,0,0
